time,signal_1,signal_2,signal_3,temperature,target
0.0,0.0497,1.0358,-0.1594,20.3785,0.5263
0.063,0.0493,1.0541,0.066,19.8544,0.508
0.126,0.1907,1.1003,0.2504,21.0646,0.591
0.189,0.3406,1.0875,0.3746,21.6194,0.613
0.253,0.2265,0.8305,0.439,21.4563,0.6618
0.316,0.2871,0.8568,0.6526,22.491,0.7128
0.379,0.5278,0.9806,0.5805,21.4625,0.7811
0.442,0.5045,0.9553,0.7591,21.5166,0.7848
0.505,0.437,0.9266,0.8591,21.5305,0.907
0.568,0.5925,1.2281,0.9587,23.4391,0.8317
0.631,0.544,0.8642,1.0242,23.2789,0.8957
0.695,0.5935,0.8819,0.8711,23.1727,0.9081
0.758,0.7115,0.8218,0.8451,23.5765,1.0238
0.821,0.5404,0.7467,1.1252,23.0961,0.9788
0.884,0.6008,0.6025,1.0138,25.0895,1.0342
0.947,0.7556,0.6598,0.8732,24.1236,0.9181
1.01,0.7457,0.4543,1.0556,24.2898,1.0115
1.074,0.9103,0.4534,0.8501,24.7573,1.0445
1.137,0.8164,0.3721,0.8811,24.7767,1.0019
1.2,0.7907,0.3707,0.6825,24.7718,1.045
1.263,1.0996,0.5345,0.7836,24.3697,0.9557
1.326,0.9476,0.0555,0.6456,25.0868,1.0381
1.389,0.9903,0.2492,0.3303,25.8588,1.0647
1.452,0.8505,-0.0431,0.3318,25.6377,0.9099
1.516,0.944,0.008,0.1748,25.789,0.8804
1.579,1.0111,0.101,0.1211,24.7442,0.9464
1.642,0.8824,-0.0646,-0.2381,24.4926,0.9203
1.705,1.0286,-0.2416,-0.1966,24.8922,0.7794
1.768,0.9205,-0.2676,-0.2787,24.9308,0.7455
1.831,0.9371,-0.1896,-0.6736,25.3784,0.7104
1.894,0.8879,-0.391,-0.7213,23.8942,0.6123
1.958,1.1114,-0.3556,-0.9026,25.3954,0.586
2.021,0.8991,-0.4303,-0.8102,24.4234,0.5315
2.084,0.7655,-0.556,-0.7836,24.1428,0.4909
2.147,0.9208,-0.3305,-0.7635,23.6866,0.4729
2.21,0.6804,-0.5333,-0.9502,23.1849,0.4299
2.273,0.7841,-0.8487,-0.8234,24.2277,0.4375
2.336,0.525,-0.6744,-1.1372,23.6413,0.2505
2.4,0.5429,-0.8033,-1.1666,22.7338,0.2888
2.463,0.6476,-0.6931,-0.9829,22.4919,0.1672
2.526,0.6514,-0.8956,-0.9045,22.7197,0.113
2.589,0.542,-0.8627,-0.8968,23.4588,0.0863
2.652,0.4585,-0.8321,-1.0366,22.2207,-0.0667
2.715,0.3833,-0.8239,-0.7618,21.3157,-0.0546
2.778,0.2073,-1.0548,-0.7945,21.653,-0.1282
2.842,0.2235,-0.9888,-0.4976,21.341,-0.1741
2.905,0.1885,-1.0196,-0.4194,19.8245,-0.2457
2.968,0.2785,-1.0503,-0.4344,20.8368,-0.1978
3.031,0.1446,-0.8174,-0.2706,20.436,-0.4116
3.094,-0.129,-0.9584,-0.2005,20.5848,-0.4639
3.157,0.0166,-1.126,0.0253,20.8455,-0.5244
3.221,-0.1174,-0.9051,0.2527,20.169,-0.5749
3.284,-0.2093,-0.7777,0.1818,19.1575,-0.6307
3.347,-0.1426,-0.8758,0.4494,18.4278,-0.5888
3.41,-0.1621,-1.1161,0.4583,19.9608,-0.6239
3.473,-0.2324,-0.994,0.5362,18.4022,-0.7675
3.536,-0.4684,-0.7964,0.6992,18.0844,-0.8216
3.599,-0.4729,-0.9678,0.6894,17.778,-0.7944
3.663,-0.4646,-0.823,0.808,17.6104,-0.8802
3.726,-0.4539,-0.7567,0.8003,17.1705,-0.8522
3.789,-0.6509,-0.8904,1.1586,16.6981,-0.9015
3.852,-0.6707,-0.764,0.9923,16.4658,-1.0115
3.915,-0.8093,-1.0396,0.9297,16.4902,-0.8788
3.978,-0.8621,-0.7724,1.0161,16.0161,-0.8829
4.041,-0.702,-0.647,0.9627,15.7274,-1.0161
4.105,-0.6853,-0.6958,0.9155,15.9487,-1.0136
4.168,-0.8625,-0.3549,0.9477,15.596,-0.9847
4.231,-0.7859,-0.6061,0.8967,16.3205,-0.9831
4.294,-0.8776,-0.4503,0.6894,14.1057,-0.9637
4.357,-1.0021,-0.3347,0.5946,15.8579,-0.889
4.42,-0.9215,-0.1438,0.524,15.8348,-0.9873
4.483,-0.8201,-0.3705,0.2118,14.0937,-1.0034
4.547,-0.9899,-0.0487,0.174,14.8972,-1.0136
4.61,-0.8383,-0.1014,0.3405,14.8406,-0.9586
4.673,-1.2612,-0.1376,0.2433,14.3001,-0.8975
4.736,-0.9175,0.0699,-0.0722,14.6125,-0.7763
4.799,-0.9875,0.1066,-0.1151,14.4635,-0.8586
4.862,-1.0187,0.0894,-0.2643,15.9323,-0.7849
4.926,-0.9682,0.2185,-0.1056,15.581,-0.7571
4.989,-1.1608,0.2342,-0.4129,15.8254,-0.6541
5.052,-0.9649,0.3443,-0.6407,15.6461,-0.5415
5.115,-0.8843,0.458,-0.8165,14.8352,-0.6461
5.178,-0.7457,0.6077,-0.9631,15.2702,-0.5933
5.241,-0.9152,0.3808,-0.8509,15.9278,-0.4636
5.304,-0.9107,0.7713,-1.0018,15.2398,-0.4266
5.368,-0.8431,0.4141,-1.1085,16.3917,-0.3114
5.431,-0.6614,0.6429,-1.0557,16.1152,-0.316
5.494,-0.677,0.7631,-1.1081,16.2631,-0.3033
5.557,-0.717,0.7758,-0.8243,17.0353,-0.1947
5.62,-0.5642,0.7258,-0.882,17.1445,-0.1069
5.683,-0.5549,0.8046,-0.9328,16.9967,-0.0587
5.746,-0.4145,0.8101,-0.7309,18.0229,-0.0114
5.81,-0.5263,0.831,-0.8041,17.179,0.0797
5.873,-0.4318,1.0019,-0.8179,18.3128,0.1479
5.936,-0.3796,0.976,-0.4878,18.5947,0.2212
5.999,-0.4267,0.8906,-0.4843,18.4435,0.2466
6.062,-0.1896,1.0656,-0.5315,19.067,0.267
6.125,-0.1311,1.0183,-0.3296,18.5884,0.3428
6.188,-0.0941,1.0768,-0.2759,19.9891,0.4546
6.252,-0.055,1.0625,-0.2014,19.7497,0.4106
6.315,-0.11,0.9166,0.1557,19.8965,0.5253
6.378,0.0525,0.9395,0.3793,20.9974,0.5406
6.441,0.1229,1.0623,0.1707,20.4339,0.6129
6.504,0.139,1.0367,0.4841,20.3919,0.7241
6.567,0.2642,0.9578,0.4732,20.6235,0.7158
6.63,0.3808,0.952,0.5914,22.0049,0.7518
6.694,0.5876,1.0447,0.6725,21.3549,0.7218
6.757,0.4736,0.8308,0.7254,23.1579,0.8642
6.82,0.5371,0.9141,0.8837,21.5158,0.893
6.883,0.5571,0.8052,0.8489,23.671,0.9993
6.946,0.4236,0.7664,0.9973,23.1831,0.9026
7.009,0.6614,0.8576,0.988,23.2718,0.9522
7.073,0.7159,0.7869,0.9761,23.277,0.9731
7.136,0.9992,0.7395,0.9003,23.9642,1.0551
7.199,0.7737,0.7398,0.9086,23.9459,0.9832
7.262,0.86,0.5601,1.0017,24.7008,1.0097
7.325,0.8599,0.5727,0.9213,24.374,1.03
7.388,0.7766,0.418,0.7047,24.5427,1.0087
7.451,1.0343,0.4242,0.7309,24.4185,0.9729
7.515,1.0181,0.3199,0.703,24.6863,0.9968
7.578,1.0412,0.2825,0.3579,24.9643,1.0288
7.641,0.8864,0.271,0.4678,24.0318,0.9078
7.704,1.1291,0.0676,0.2292,24.2698,0.946
7.767,0.856,0.296,0.2298,25.3528,0.8808
7.83,1.0584,-0.0769,-0.029,25.084,0.9484
7.893,1.2183,-0.1609,-0.2593,24.9041,0.7818
7.957,0.8957,0.0134,-0.3665,24.9829,0.7959
8.02,0.9297,-0.0858,-0.3207,25.1053,0.8053
8.083,0.9839,-0.1645,-0.416,24.5997,0.8242
8.146,0.9073,-0.2251,-0.6419,24.3991,0.6991
8.209,0.7825,-0.349,-0.5883,24.7858,0.6283
8.272,0.9206,-0.496,-0.9086,24.0796,0.7012
8.335,0.7801,-0.4555,-0.8275,24.6356,0.4834
8.399,0.9027,-0.5858,-1.0074,23.4253,0.3923
8.462,0.729,-0.4735,-1.0028,24.6191,0.4686
8.525,0.9382,-0.6364,-0.9692,24.1525,0.3642
8.588,0.6641,-0.7525,-1.0808,23.8402,0.2793
8.651,0.6665,-0.7476,-1.0382,23.9848,0.3056
8.714,0.7335,-0.7168,-0.8881,24.0935,0.2211
8.778,0.4799,-0.8541,-1.0198,23.5222,0.1185
8.841,0.5742,-0.9164,-0.8365,21.8369,0.02
8.904,0.6284,-0.843,-0.9764,21.8488,0.0646
8.967,0.2812,-0.8725,-0.74,21.8976,-0.0097
9.03,0.403,-0.9738,-0.5657,21.9356,-0.1101
9.093,0.3515,-0.9927,-0.8627,21.8863,-0.0753
9.156,0.3433,-0.941,-0.591,20.963,-0.2831
9.22,0.0801,-1.1238,-0.3413,21.1123,-0.3668
9.283,0.0096,-1.1307,-0.3007,20.3303,-0.3849
9.346,0.131,-1.0687,-0.1201,20.0885,-0.411
9.409,0.0455,-1.0212,-0.092,19.3756,-0.4533
9.472,-0.0223,-0.9678,0.1032,19.3017,-0.5325
9.535,-0.0756,-0.8464,0.2037,18.7727,-0.5557
9.598,-0.2408,-0.8992,0.4571,18.6481,-0.6864
9.662,-0.2114,-0.9881,0.4815,19.3538,-0.5997
9.725,-0.2662,-0.9573,0.5983,18.0479,-0.7214
9.788,-0.4266,-1.0351,0.6228,19.5403,-0.704
9.851,-0.2269,-0.9124,0.7042,18.1794,-0.7822
9.914,-0.4227,-0.9115,0.7866,17.742,-0.8129
9.977,-0.644,-0.8189,0.9329,16.9466,-0.8402
10.04,-0.5119,-0.8991,0.9009,17.4625,-0.8758
10.104,-0.7254,-0.7264,1.0064,16.5727,-0.892
10.167,-0.597,-0.5839,1.2038,16.6822,-0.88
10.23,-0.6051,-0.7039,1.0863,17.6754,-0.9551
10.293,-0.8453,-0.606,0.9537,16.1359,-0.9441
10.356,-0.7061,-0.5277,1.0778,16.5623,-0.9948
10.419,-0.7972,-0.585,0.873,15.4558,-0.9251
10.483,-0.789,-0.4684,0.6515,15.6263,-1.0337
10.546,-0.7108,-0.4336,0.6824,16.383,-0.9087
10.609,-0.9507,-0.3674,0.5116,15.0559,-0.9956
10.672,-1.0235,-0.3953,0.5679,16.1658,-1.056
10.735,-1.0552,-0.2551,0.4996,15.5225,-0.965
10.798,-1.0622,-0.1463,0.5521,14.8158,-0.9886
10.861,-0.9987,0.0113,0.2979,15.3612,-0.8918
10.925,-0.9634,0.0249,0.1197,15.4989,-0.942
10.988,-0.9723,0.2074,0.0987,15.3111,-0.9036
11.051,-0.9158,-0.0215,-0.3314,14.2225,-0.9442
11.114,-0.9917,0.2054,-0.211,14.6714,-0.8374
11.177,-0.8382,0.1989,-0.2781,14.9584,-0.8978
11.24,-0.9967,0.4612,-0.6179,15.1117,-0.8145
11.303,-0.681,0.2222,-0.4631,15.5454,-0.653
11.367,-0.8694,0.2786,-0.6419,15.429,-0.6048
11.43,-0.9929,0.3607,-0.8047,14.7962,-0.5732
11.493,-0.986,0.2647,-0.7752,15.7957,-0.5909
11.556,-0.7988,0.479,-0.6734,16.0702,-0.4909
11.619,-0.8341,0.508,-0.9299,16.2209,-0.4326
11.682,-0.7019,0.6491,-0.9558,16.6738,-0.4326
11.745,-0.6844,0.7157,-1.0434,16.7581,-0.2403
11.809,-0.6946,0.914,-1.0835,16.7931,-0.2111
11.872,-0.7248,0.8633,-0.9005,16.7644,-0.2044
11.935,-0.7418,0.7495,-1.0386,16.2178,-0.1298
11.998,-0.5829,0.753,-0.9001,17.5237,-0.0579
12.061,-0.3983,0.9243,-0.8948,17.684,-0.1073
12.124,-0.4064,0.7719,-0.7254,17.9969,0.0456
12.187,-0.4945,1.1122,-0.6539,17.5122,0.0867
12.251,-0.2932,1.0685,-0.4866,17.9069,0.1331
12.314,-0.2114,0.9214,-0.535,19.277,0.2308
12.377,-0.2767,0.8108,-0.3969,19.0387,0.3955
12.44,-0.1106,1.1274,-0.3478,19.711,0.3971
12.503,-0.0573,0.9866,-0.1704,19.6986,0.3945
12.566,-0.1143,1.1238,0.0377,20.0149,0.5081
